,0
0,LMK_KEY
1,ADDRESS1
2,ADDRESS2
3,ADDRESS3
4,POSTCODE
5,BUILDING_REFERENCE_NUMBER
6,CURRENT_ENERGY_RATING
7,POTENTIAL_ENERGY_RATING
8,CURRENT_ENERGY_EFFICIENCY
9,POTENTIAL_ENERGY_EFFICIENCY
10,PROPERTY_TYPE
11,BUILT_FORM
12,INSPECTION_DATE
13,LOCAL_AUTHORITY
14,CONSTITUENCY
15,COUNTY
16,LODGEMENT_DATE
17,TRANSACTION_TYPE
18,ENVIRONMENT_IMPACT_CURRENT
19,ENVIRONMENT_IMPACT_POTENTIAL
20,ENERGY_CONSUMPTION_CURRENT
21,ENERGY_CONSUMPTION_POTENTIAL
22,CO2_EMISSIONS_CURRENT
23,CO2_EMISS_CURR_PER_FLOOR_AREA
24,CO2_EMISSIONS_POTENTIAL
25,LIGHTING_COST_CURRENT
26,LIGHTING_COST_POTENTIAL
27,HEATING_COST_CURRENT
28,HEATING_COST_POTENTIAL
29,HOT_WATER_COST_CURRENT
30,HOT_WATER_COST_POTENTIAL
31,TOTAL_FLOOR_AREA
32,ENERGY_TARIFF
33,MAINS_GAS_FLAG
34,FLOOR_LEVEL
35,FLAT_TOP_STOREY
36,FLAT_STOREY_COUNT
37,MAIN_HEATING_CONTROLS
38,MULTI_GLAZE_PROPORTION
39,GLAZED_TYPE
40,GLAZED_AREA
41,EXTENSION_COUNT
42,NUMBER_HABITABLE_ROOMS
43,NUMBER_HEATED_ROOMS
44,LOW_ENERGY_LIGHTING
45,NUMBER_OPEN_FIREPLACES
46,HOTWATER_DESCRIPTION
47,HOT_WATER_ENERGY_EFF
48,HOT_WATER_ENV_EFF
49,FLOOR_DESCRIPTION
50,FLOOR_ENERGY_EFF
51,FLOOR_ENV_EFF
52,WINDOWS_DESCRIPTION
53,WINDOWS_ENERGY_EFF
54,WINDOWS_ENV_EFF
55,WALLS_DESCRIPTION
56,WALLS_ENERGY_EFF
57,WALLS_ENV_EFF
58,SECONDHEAT_DESCRIPTION
59,SHEATING_ENERGY_EFF
60,SHEATING_ENV_EFF
61,ROOF_DESCRIPTION
62,ROOF_ENERGY_EFF
63,ROOF_ENV_EFF
64,MAINHEAT_DESCRIPTION
65,MAINHEAT_ENERGY_EFF
66,MAINHEAT_ENV_EFF
67,MAINHEATCONT_DESCRIPTION
68,MAINHEATC_ENERGY_EFF
69,MAINHEATC_ENV_EFF
70,LIGHTING_DESCRIPTION
71,LIGHTING_ENERGY_EFF
72,LIGHTING_ENV_EFF
73,MAIN_FUEL
74,WIND_TURBINE_COUNT
75,HEAT_LOSS_CORRIDOR
76,UNHEATED_CORRIDOR_LENGTH
77,FLOOR_HEIGHT
78,PHOTO_SUPPLY
79,SOLAR_WATER_HEATING_FLAG
80,MECHANICAL_VENTILATION
81,ADDRESS
82,LOCAL_AUTHORITY_LABEL
83,CONSTITUENCY_LABEL
84,POSTTOWN
85,CONSTRUCTION_AGE_BAND
86,LODGEMENT_DATETIME
87,TENURE
88,FIXED_LIGHTING_OUTLETS_COUNT
89,LOW_ENERGY_FIXED_LIGHT_COUNT
90,UPRN
91,UPRN_SOURCE
