LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
1800135763512020053011344022200370,1,,,58,Solid floor insulation,"£4,000 - £6,000"
1800135763512020053011344022200370,2,,,3,Add additional 80 mm jacket to hot water cylinder,£15 - £30
1800135763512020053011344022200370,3,,,19,Solar water heating,"£4,000 - £6,000"
1800135763512020053011344022200370,4,,,34,"Solar photovoltaic panels, 2.5 kWp","£3,500 - £5,500"
1800494625032020060212501817278607,1,,,58,Solid floor insulation,"£4,000 - £6,000"
1800494625032020060212501817278607,2,,,4,Hot water cylinder thermostat,£200 - £400
1800494625032020060212501817278607,3,,,13,Upgrading heating controls,£350 - £450
1800494625032020060212501817278607,4,,,20,Replace boiler with new condensing boiler,"£2,200 - £3,000"
1800494625032020060212501817278607,5,,,19,Solar water heating,"£4,000 - £6,000"
1800494625032020060212501817278607,6,,,34,"Solar photovoltaic panels, 2.5 kWp","£3,500 - £5,500"
1817011056552020081208182124900377,1,,,7,50 mm internal or external wall insulation,"£4,000 - £14,000"
1817011056552020081208182124900377,2,,,57,Suspended floor insulation,"£800 - £1,200"
1817011056552020081208182124900377,3,,,35,Low energy lighting for all fixed outlets,£40
1817011056552020081208182124900377,4,,,19,Solar water heating,"£4,000 - £6,000"
1817011056552020081208182124900377,5,,,34,"Solar photovoltaic panels, 2.5 kWp","£3,500 - £5,500"
1821014142222020082615085251868420,1,,,6,Cavity wall insulation,"£500 - £1,500"
1821014142222020082615085251868420,2,,,58,Solid floor insulation,"£4,000 - £6,000"
1821014142222020082615085251868420,3,,,19,Solar water heating,"£4,000 - £6,000"
1821014142222020082615085251868420,4,,,34,"Solar photovoltaic panels, 2.5 kWp","£3,500 - £5,500"
1800717482062020060314141470378310,1,,,19,Solar water heating,"£4,000 - £6,000"
1800717482062020060314141470378310,2,,,34,"Solar photovoltaic panels, 2.5 kWp","£3,500 - £5,500"
1822892182062020090309171441278550,1,,,19,Solar water heating,"£4,000 - £6,000"
1796909692102020042116413869902298,1,,,19,Solar water heating,"£4,000 - £6,000"
1796909692102020042116413869902298,2,,,34,"Solar photovoltaic panels, 2.5 kWp","£3,500 - £5,500"
464488379062010040708193894598790,1,,,35,Low energy lighting for all fixed outlets,
464488379062010040708193894598790,2,,,19,Solar water heating,
464488379062010040708193894598790,3,,,34,"Solar photovoltaic panels, 2.5 kWp",
1546645789222017052321044801978293,1,,,7,50 mm internal or external wall insulation,"£4,000 - £14,000"
1546645789222017052321044801978293,10,,,44,Wind turbine,"£15,000 - £25,000"
1546645789222017052321044801978293,2,,,57,Suspended floor insulation,"£800 - £1,200"
1546645789222017052321044801978293,3,,,58,Solid floor insulation,"£4,000 - £6,000"
1546645789222017052321044801978293,4,,,3,Add additional 80 mm jacket to hot water cylinder,£15 - £30
1546645789222017052321044801978293,5,,,4,Hot water cylinder thermostat,£200 - £400
1546645789222017052321044801978293,6,,,11,Upgrade heating controls,£350 - £450
1546645789222017052321044801978293,7,,,19,Solar water heating,"£4,000 - £6,000"
1546645789222017052321044801978293,8,,,48,High performance external doors,"£1,000"
1546645789222017052321044801978293,9,,,34,"Solar photovoltaic panels, 2.5 kWp","£5,000 - £8,000"
1826024412542020091516552170209958,1,,,57,Suspended floor insulation,"£800 - £1,200"
1826024412542020091516552170209958,2,,,58,Solid floor insulation,"£4,000 - £6,000"
1826024412542020091516552170209958,3,,,35,Low energy lighting for all fixed outlets,£185
1826024412542020091516552170209958,4,,,16,Time and temperature zone control,£350 - £450
1826024412542020091516552170209958,5,,,34,"Solar photovoltaic panels, 2.5 kWp","£3,500 - £5,500"
1821838249312020082808073527200874,1,,,5,Increase loft insulation to 270 mm,£100 - £350
1821838249312020082808073527200874,2,,,58,Solid floor insulation,"£4,000 - £6,000"
1821838249312020082808073527200874,3,,,19,Solar water heating,"£4,000 - £6,000"
1821838249312020082808073527200874,4,,,34,"Solar photovoltaic panels, 2.5 kWp","£3,500 - £5,500"
1818628672962020081715573441438680,1,,,58,Solid floor insulation,"£4,000 - £6,000"
1818628672962020081715573441438680,2,,,34,"Solar photovoltaic panels, 2.5 kWp","£3,500 - £5,500"
1806545620412020062915151427200472,1,,,58,Solid floor insulation,"£4,000 - £6,000"
1806545620412020062915151427200472,2,,,35,Low energy lighting for all fixed outlets,£40
1806545620412020062915151427200472,3,,,14,Upgrade heating controls,£350 - £450
