,Insulate hot water cylinder with 80 mm jacket,Increase hot water cylinder insulation,Add additional 80 mm jacket to hot water cylinder,Hot water cylinder thermostat,Increase loft insulation to 270 mm,Cavity wall insulation,50 mm internal or external wall insulation,Replace single glazed windows with low-E double glazing,Secondary glazing to single glazed windows,Draughtproof single-glazed windows,Upgrade heating controls,Time and temperature zone control,Solar water heating,Replace boiler with new condensing boiler,Replace boiler with biomass boiler,Wood pellet stove with boiler and radiators,Fan assisted storage heaters and dual immersion cylinder,Fan assisted storage heaters,Replacement warm air unit,Change heating to gas condensing boiler,Condensing oil boiler with radiators,Fan-assisted storage heaters,"Solar photovoltaic panels, 2.5 kWp",Low energy lighting for all fixed outlets,Replace heating unit with condensing unit,Install condensing boiler,Change room heaters to condensing boiler,Wind turbine,Flat roof insulation,Room-in-roof insulation,Floor insulation,High performance external doors,Heat recovery system for mixer showers,Flue gas heat recovery device in conjunction with boiler,Replacement glazing units,Suspended floor insulation,Solid floor insulation,High heat retention storage heaters and dual immersion cylinder,High heat retention storage heaters,Party wall insulation
total_floor_area,0.004757776,0.0040604365,0.00021795169,0.0008256953,0.0015822113,0.00082575425,0.0139476,0.013178518,0.026871754,1.6650894e-05,0.05466778,0.0034517222,0.040334195,0.00035136574,0.022715392,0.039834592,0.002481699,4.4963363e-05,0.0023870766,0.16666667,0.00046304625,0.003797366,0.0005895141,0.001877927,0.0037351095,0.012324713,0.0006506374,0.017797332,0.005258094,0.004275107,0.0043216916,0.014105281,0.00064088614,0.00069604034,0.0016527146,0.0021029962,0.0033281054,0.00886086,0.0019132649,0.008694914
floor_level_numeric,0.0023027244,0.0008012262,0.006349948,0.0689506,0.055322107,0.00033796692,0.009769301,0.0055844663,0.050198667,0.04165973,0.07819185,0.015056088,0.037026357,0.000501824,0.00053142285,0.038985386,0.0005255164,0.48885947,0.0062441765,0.0,0.0002785498,0.0056914603,0.007256812,0.0060807774,1.0696687e-05,0.00011143925,0.00012566772,0.4448754,0.01237967,0.0019728155,0.002848348,0.008841178,0.0021065765,0.0005726809,0.0019231626,0.005019278,7.746799e-05,0.0016740022,0.0012116934,0.0008823954
flat_storey_count,0.0,0.07829744,0.041210834,0.011176685,0.00078906363,0.039148383,0.0,0.003928446,0.0082979305,9.8023655e-08,0.0,0.026928866,0.0,0.0,0.00053142285,0.019996963,0.0004986233,0.0,0.078943744,0.0,0.0,0.0,0.030792054,0.030599307,3.2912885e-06,0.0,0.00043559313,0.0,0.0,0.00024041618,0.00506088,0.042565826,0.0013553392,0.000117844254,0.004445348,0.0015802841,0.003127014,0.005051455,0.04452022,0.00033558442
multi_glaze_proportion,0.00029896834,0.0,4.0361265e-05,2.162901e-05,0.00030013692,0.024662169,0.0065774503,0.0056879306,0.002627891,0.00012629727,0.0019608133,0.003299549,0.0039539486,4.836793e-06,0.024386765,0.004830292,0.0013651736,0.0,0.00017377146,0.16666667,0.0003163022,0.004797735,0.00080821535,0.0007085265,0.010402347,0.037709627,0.0003419596,5.665426e-05,0.014804565,7.857134e-05,0.2733566,0.008051034,0.64658487,0.0005971997,0.0011589773,0.0019282093,0.000113441325,0.00067127653,0.0007403112,0.0020990486
extension_count,0.014028689,0.0,0.0035159385,0.000189347,0.0072098454,0.0028322763,0.0068646064,0.0014123612,0.0040506204,0.09222927,0.0043372344,0.19251175,0.0061034015,0.0009671271,0.012790545,0.006162907,0.0024416242,6.576903e-06,0.0014917207,0.16666667,0.015033157,0.0013815698,0.000276087,0.0,0.0103915995,0.024250355,0.00011494396,0.00061556976,0.0045159427,0.00059603486,0.008766654,0.0094278315,0.00074141606,0.0076183183,0.15679015,0.018209497,0.00016596144,0.00041782166,0.00056445115,0.0040491507
number_habitable_rooms,0.0037995267,0.0024181644,0.001466919,0.00026951975,0.00024745835,0.0016072928,0.0043986305,0.0064423303,0.017161235,0.06292096,0.03129178,0.010349118,0.0053087,0.0007042938,0.019694075,0.0024071783,0.007796504,1.2110727e-05,0.013383603,0.16666667,0.0016649937,0.0034544868,0.0008673194,0.001660204,0.017944489,0.017688777,0.00022405865,0.010654391,0.011560654,0.02323567,0.0027541998,0.039465982,0.0006074574,0.00044201416,0.0013924136,0.0011057929,0.0011380616,0.0036040675,0.0025053006,0.0016461688
number_heated_rooms,0.005435792,0.0024982006,0.0039902227,0.000613987,8.3335275e-05,0.003836198,0.034457963,0.008133555,0.004527369,0.05421871,0.0040389933,0.004599118,0.019333431,0.00063954195,0.014350301,0.0035970209,0.0050932984,3.5479204e-06,0.0014476039,0.0,0.0014795999,0.0054534893,0.00030094583,0.0062720273,0.0050154715,0.016032478,0.0013283564,0.0017871783,0.042546522,0.08512226,0.0044920635,0.024077319,0.0009919629,0.0003869455,0.052433677,0.00796693,0.00013649523,0.0016530072,0.004219051,0.002844289
low_energy_lighting,0.014806318,0.0005639427,0.0003230353,0.00011037936,0.00027362502,0.0023855034,0.001698753,0.008207104,0.003528865,0.003464614,0.0024003189,0.0024832387,0.0024043527,0.00026629432,0.018868828,0.018902674,0.55198205,0.0008584942,0.0044072038,0.16666667,0.0003265224,0.0020584804,0.0010540837,0.0025458694,0.01203158,0.024817025,0.00026977016,4.0278268e-05,0.0030462374,2.0193647e-05,0.0024485365,0.014115676,0.0008310902,0.00015646043,0.011642206,0.007314358,0.00026644516,0.0008202604,0.0013394002,0.0025505435
low_energy_lighting_perc,0.0052024997,0.00024987926,9.367421e-05,0.00013232243,0.00030859277,0.0016189294,0.0013597804,0.0033281138,0.0025463172,5.3059048e-05,0.0029054338,0.002599054,0.0016291598,0.00054486206,0.013989023,0.03915294,0.21291484,0.00086229655,0.0038272275,0.0,0.00015333279,0.003145526,0.0011262256,0.0012949195,0.018853497,0.024042005,0.000130603,4.1355208e-05,0.001858887,1.5170523e-05,0.0018178531,0.03808644,0.00077883713,0.00012532952,0.0015923455,0.0018917352,0.00021435924,0.0006450251,0.0007761009,0.0019809646
number_open_fireplaces,0.0006580593,0.0,0.00017484723,0.0,0.0016349711,5.9396105e-05,0.0021982798,0.0028932055,0.00017907166,3.6838515e-05,0.0012515581,0.00025950832,0.0008581115,0.0,0.055395897,0.0,0.010132318,0.0006815842,0.0012858718,0.0,0.00048835104,0.0,0.00059685804,0.00012257794,0.019221375,0.024173738,0.00024467983,4.251476e-05,0.0,2.8456461e-05,0.0022602885,0.0025251925,0.0009844785,0.0002307913,0.0005821328,0.0002809913,0.00028043144,0.00089304236,0.0005529647,0.002701647
