,Insulate hot water cylinder with 80 mm jacket,Increase hot water cylinder insulation,Add additional 80 mm jacket to hot water cylinder,Hot water cylinder thermostat,Increase loft insulation to 270 mm,Cavity wall insulation,50 mm internal or external wall insulation,Replace single glazed windows with low-E double glazing,Secondary glazing to single glazed windows,Draughtproof single-glazed windows,Upgrade heating controls,Time and temperature zone control,Solar water heating,Replace boiler with new condensing boiler,Replace boiler with biomass boiler,Wood pellet stove with boiler and radiators,Fan assisted storage heaters and dual immersion cylinder,Fan assisted storage heaters,Replacement warm air unit,Change heating to gas condensing boiler,Condensing oil boiler with radiators,Fan-assisted storage heaters,"Solar photovoltaic panels, 2.5 kWp",Low energy lighting for all fixed outlets,Replace heating unit with condensing unit,Install condensing boiler,Change room heaters to condensing boiler,Wind turbine,Flat roof insulation,Room-in-roof insulation,Floor insulation,High performance external doors,Heat recovery system for mixer showers,Flue gas heat recovery device in conjunction with boiler,Replacement glazing units,Suspended floor insulation,Solid floor insulation,High heat retention storage heaters and dual immersion cylinder,High heat retention storage heaters,Party wall insulation
total_floor_area,0.004430549,0.0023045205,0.00013051248,5.452896e-05,0.002016384,0.0006064361,0.013672369,0.004751862,0.011448574,1.2559826e-05,0.047579702,0.00093861815,0.013156932,0.0002256939,0.004625135,0.021789376,0.003742815,3.437853e-05,0.0021288914,0.007822557,0.00018904456,0.0011489753,0.0008107828,0.0027336986,0.0032214408,0.010855553,0.00013137473,0.00948332,0.0015006489,0.000960121,0.005305265,0.0071301917,0.00032622027,0.0006294622,0.000984335,0.0011590793,0.0022369823,0.01133024,0.0025923245,0.0032056598
floor_level_numeric,0.013645941,0.001042734,0.00024765418,0.14898087,0.049940147,0.0041234875,0.0016201911,0.030717075,0.01989566,0.04219561,0.02092189,0.017100977,0.032082036,2.4037248e-05,2.8758677e-05,0.0096271895,0.0022575138,0.74150836,0.004180058,0.0002796899,0.00029708695,0.0009846996,0.0038484137,0.0041776495,0.00087607495,4.2757918e-05,0.00015028373,0.48196128,0.0024128072,0.0025770843,0.012665036,0.010080557,0.0014794533,0.0005829402,0.006980266,0.0033449293,0.00030189956,0.00046167403,0.010090053,0.0039904993
flat_storey_count,2.786355e-06,0.048290867,0.06680008,0.0,0.0002896048,0.04115664,0.0053608273,0.022015914,0.0040392284,7.171675e-09,0.0,0.028273523,0.0011330516,0.0006944756,0.0,0.0017301351,0.00060648844,2.3575494e-08,0.035420835,9.0710244e-05,0.0013510453,0.0022521538,0.056570865,0.04040132,0.0,5.3606946e-05,0.0019361856,1.6707348e-08,0.0017272108,0.0016390249,0.018711703,0.013514982,0.0013876932,0.00033630963,0.000296154,0.00087225187,0.0010714342,0.0053331726,0.0021675292,0.0068934034
multi_glaze_proportion,7.243798e-05,0.0010093823,0.00010328977,0.0005090333,0.0027965428,0.031787805,0.015197367,0.001530208,0.0012049975,0.014163794,0.010111407,0.0029426988,0.00043823576,0.00042798585,0.0064756656,0.0002828107,0.0040134406,0.00022194338,0.003812293,0.01849209,3.2596965e-06,0.0022584116,0.0090483725,0.008800372,0.008627097,0.011226295,5.4943474e-05,0.00012224399,0.0023239185,0.000114415,0.1406414,0.03951092,0.4288804,0.004328384,0.00070326217,0.00011217332,0.00011004708,0.003620109,0.030217798,0.0033451181
extension_count,0.0012682161,0.00021141005,0.00027248854,0.0012152775,0.006462779,0.00017950244,0.0015793531,0.0009474307,0.0012187851,0.04154843,0.012263525,0.12708083,0.024438972,0.00017071851,0.0037793815,0.0057104668,0.014708362,8.01414e-05,0.013394316,0.011139742,0.014043653,0.0016156238,0.0038047393,0.0022080978,0.0065951105,0.017497215,0.0015833877,1.09949415e-05,0.0066694655,0.003862065,0.0017499133,0.009464155,0.0041352897,0.0014367102,0.036913786,0.0027526824,0.00090217346,0.0014557799,0.00031662156,0.00166778
number_habitable_rooms,0.0019584382,0.0007122146,0.00021791871,5.3080803e-05,0.00015862647,0.0003903128,0.011041593,0.0036640915,0.0064064446,0.05169784,0.020903805,0.00078583875,0.0015928405,0.0005610092,0.008180847,0.056824,0.000788076,0.00061687146,0.0071592983,0.013860966,0.014024896,0.0011582501,0.00095048395,0.0014066916,0.010491882,0.016766062,0.00011472497,0.00397196,0.030647477,0.03638213,0.0017894491,0.01145539,0.00078980305,0.00038586053,0.0025385818,0.0009401192,0.00071032625,0.0043884893,0.002768142,0.0037908778
number_heated_rooms,0.0036792168,0.0029597406,0.008358597,0.00045679542,0.00019377306,0.000178425,0.02205136,0.0037070373,0.006693899,0.102198444,0.001350724,0.006601063,0.015592463,0.00069585425,0.016558003,0.042988583,0.015478609,0.00022331782,0.015305314,0.029406443,0.007572155,0.001536289,0.0014356504,0.0022574519,0.004188339,0.022676228,0.016227236,0.0032086817,0.033585522,0.16474682,0.0006638472,0.012267726,0.005841112,0.0003484356,0.026050847,0.00043873824,0.0003985468,0.019471768,0.002777038,0.0050802184
low_energy_lighting,0.021073088,0.00059594313,0.00022277833,0.008335611,0.0036653497,0.0028061636,0.0045140446,0.017498164,0.0013919165,0.0010601747,0.00540873,0.005816522,0.0005011735,0.00029638124,0.009286552,0.018755607,0.6096148,3.0431904e-05,0.0041306945,0.022226304,0.00013810073,0.00096035254,0.0013989947,0.008654745,0.0104201585,0.012295105,0.0010432071,6.458624e-06,0.0014301722,1.801677e-05,0.0019788991,0.01376112,0.002670721,9.1795446e-05,0.0021281638,0.009281324,0.00018685545,0.0014008059,0.00084157445,0.0020078104
low_energy_lighting_perc,0.00038057563,0.00022838682,0.0002048088,0.00053529436,0.00055142253,0.0005087938,0.0030641125,0.002808884,0.0006542767,0.0002930194,0.0028241323,0.0005372208,0.00024461088,0.00020522159,0.005763187,0.0074669556,0.09220507,1.6841659e-05,0.0025113937,0.013634062,8.999706e-05,0.00082456786,0.0004342181,0.0003797634,0.006683942,0.015597024,0.00010323931,2.2672324e-05,0.0010824517,4.04418e-06,0.00054054626,0.009549793,0.00030674346,8.057417e-05,0.0003344943,0.00034996448,0.00019956662,0.0005639801,0.00044424407,0.0023883302
number_open_fireplaces,0.0,0.0,1.6549957e-05,0.0,0.0002917267,0.0001903555,0.0054848427,0.0053476114,0.0018083608,0.0,0.001319835,0.0013822978,5.048823e-05,0.0001782077,0.009361258,0.007903057,0.008501651,0.0030332701,0.0004289698,0.09318117,0.00022385913,0.0023051777,1.4596976e-05,0.00022297376,0.026399573,0.020926706,1.0147304e-05,3.9734332e-05,0.0034878883,0.00025481783,0.0032316607,0.005888322,0.00034265994,0.00024585394,8.7289154e-05,0.0027081922,0.00036369247,0.00015922575,0.00093289395,0.0044946694
